id,url,region,region_url,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,image_url,description,county,state,lat,long
7088746062,https://greensboro.craigslist.org/ctd/d/cary-2012-acura-tl-base-4dr-sedan/7088746062.html,greensboro,https://greensboro.craigslist.org,10299,2012,acura,tl,,,gas,90186,clean,automatic,19UUA8F22CA003926,,,other,blue,https://images.craigslist.org/01414_3LIXs9EO33z_600x450.jpg,"2012 Acura TL Base 4dr Sedan     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $10,299     PRISTINE CONDITION INSIDE AND OUT   Best Import Auto Sales Inc    Year: 2012 Make: Acura Model: TL Series: Base 4dr Sedan VIN: 19UUA8F22CA003926  Condition: Used Mileage: 90,186  Exterior: Blue Interior: Black Body: Sedan Transmission: Automatic 6-Speed Engine: 3.5L V6      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/cfoamRwq     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this Acura TL Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2012 Acura TL Base 4dr Sedan   30b9c4702111452eb57503c99e795660",,nc,35.7636,-78.7443
7088745301,https://greensboro.craigslist.org/ctd/d/bmw-3-series-335-convertible-harmon/7088745301.html,greensboro,https://greensboro.craigslist.org,0,2011,bmw,335,,6 cylinders,gas,115120,clean,automatic,,rwd,,convertible,blue,https://images.craigslist.org/00S0S_1kTatLGLxB5_600x450.jpg,"BMW 3 Series 335i Convertible Navigation Dakota Leather Heated Seats Automatic High Beam We Finance!Price: Call for PricingCall Today    888-728-7443You can Fill out a Free Super Quick Pre-Approval Credit Application here!For Instant Online Approvals!  OPEN TODAY!   888-768-8164Copy The Link Belowhttps://www.smartchevrolet.com/finance/apply-for-financing/Finance Online, We Can Ship To Your Door!We Have First Time Buyers Program!We Use Over 40 banks a Credit Unions With Lowest Rates Possible For All Types Of Credit!FINANCING FOR ALL TYPES OF CREDIT! BAD CREDIT, NO CREDIT, Repossession NO PROBLEM!SLOW PAYMENTS, BANKRUPTCY, REPOS NO PROBLEM!COLLECTIONS, JUDGEMENTS, DIVORCE NO PROBLEM!TRADE-INS Great! WE BUY CARS Everyday, Even if you don't buy Ours!Se Habla EspanolAsk for: Craigslist Salesstore: (888) 728-7443VIN Number: WBADX7C51BE579063Engine: 3.0L 6-Cylinder DOHC Twin TurbochargedStock No: 579063KBWarranty: Original Manufacturer WarrantyMiles: 115120Interior: Oyster BlackTrans: 6-Speed Automatic SteptronicExterior: Blue Water MetallicOptions:Navigation SystemReal Time Traffic InformationCold Weather PackageConvenience PackagePremium PackageConvertible Hardtop8 SpeakersAM/FM CD/MP3 RadioAM/FM RadioCD PlayerIpod & USB AdapterMP3 DecoderRadio Data SystemSIRIUS Satellite RadioAir ConditioningAutomatic Temperature ControlFront Dual Zone A/CRear Air ConditioningRear Window DefrosterComfort Access Keyless EntryLumbar SupportMemory SeatPower Driver SeatPower SteeringPower WindowsRemote Keyless EntrySteering Wheel Mounted A/C ControlsSteering Wheel Mounted Audio ControlsVoice CommandActive SteeringFour Wheel Independent SuspensionSpeed-Sensing SteeringSport SuspensionTraction Control4-Wheel Disc BrakesABS BrakesAnti-Whiplash Front Head RestraintsDual Front Impact AirbagsDual Front Side Impact AirbagsFront Anti-Roll BarIntegrated Roll-Over ProtectionKnee AirbagLow Tire Pressure WarningOccupant Sensing AirbagRear Anti-Roll BarBMW Assist W/Bluetooth®Smartphone IntegrationBrake AssistElectronic Stability ControlAutomatic High BeamsDelay-Off HeadlightsFront Fog LightsFully Automatic HeadlightsHigh Intensity Discharge Headlights: Bi-XenonRetractable Headlight WashersAnti-Theft Alarm SystemActive Cruise ControlSpeed ControlAuto-Dimming MirrorsBumpers: Body-ColorHeated Door MirrorsPower Door MirrorsAuto-Dimming Rear-View MirrorBamboo Anthracite Wood TrimConvertible Roof LiningDigital Compass MirrorDriver Door BinDriver Vanity MirrorFront Reading LightsGenuine Wood Console InsertGenuine Wood Dashboard InsertGenuine Wood Door Panel InsertHeated Steering WheelIlluminated EntryLeather Shift KnobOutside Temperature DisplayPark Distance ControlPassenger Vanity MirrorPower Convertible RoofRear Reading LightsRear Seat Center ArmrestSmartphone Integration (DISC)Sport Steering WheelTachometerTelescoping Steering WheelTilt Steering WheelTrip ComputerUniversal Garage-Door OpenerDakota Leather UpholsteryFront Bucket SeatsFront Center ArmrestHeated Front SeatsPower Passenger SeatThrough-Loading System W/Integrated Transport BagPassenger Door Bin17"" Light Alloy Star-Spoke (Style 339) WheelsGlass Rear WindowRain Sensing WipersVariably Intermittent WipersCARFAX CERTIFIEDDescription:BMW 3 Series 335i Convertible, Navigation System, Dakota Leather, Heated Seats, Automatic High Beams, Carfax Cerified, Premium Package, Steptronic Auto Trans. We Finance! $11040 In Installed Options on the car!INSTALLED OPTIONS[205] Steptronic Automatic Trans.normalsport & manual shift modes$1,375[896] Blue Water Metallic	$550[LCCX] Oyster/Black Dakota Leather	$0[ZPP] Premium PackageUniversal garage-door openerAuto-dimming mirrorsAuto-dimming rearview mirrorLumbar supportInterior mirror with compassBMW Assist with Bluetooth$1,650[ZCV] Convenience PackageAlarm SystemComfort Access keyless entryPark Distance Control$1,250[217] Active Steering	$1,550[5AC] Automatic High Beams	$250[655] Sirius XM Radio W/ 1 Year Sub.(1) year subscription$350[6FL] I Pod And Usb Adapter	$400[494] Heated Front Seats	$500[248] Heated Steering Wheel	$190[609] Navigation System16:9 high-resolution display3-D screenvoice command systemreal time traffic infoiDrive system w/on-board computer6 programmable memory buttons12 GB media storage$2,100[4BY] Bamboo Anthracite Wood Trim	$0Original Shipping Charge	$875RETAIL PRICE (ORIGINALLY NEW)	$62,240.00You can Fill out a Free Super Quick Pre-Approval Credit Application here!https://www.smartchevrolet.com/finance/apply-for-financing/We Use Over 40 banks a Credit Unions For the Lowest Rates Possible For All Types Of Credit!FINANCING FOR ALL TYPES OF CREDIT!BAD CREDIT, NO CREDIT, Repossession NO PROBLEM!SLOW PAYMENTS, BANKRUPTCY, REPOS NO PROBLEM!COLLECTIONS, JUDGEMENTS, DIVORCE NO PROBLEM!MONTHLY PAYMENTS TO FIT ANY INCOME!335, 325, 328, 335, 330, 550, 528, 535, 525, 5 Series, 525i, 528i, 528e, 530i, 535i, 540i, 540, 545, 545i, 550i, 650, 750, 760, M3, M5, M6, X1, X3, X6, X5, Z4, X5 M, X6 M, 550 Gran Turismo, 535 Gran Turismo, ActiveHybrid X6, 740, Alpina B7, ActiveHybrid 750, 1 Series M, 640, ActiveHybrid 5, 320, 640 Gran Coupe, X1, 650 Gran Coupe, ActiveHybrid 3, ActiveHybrid 740, 228, 428, M6 Gran Coupe, 328 Gran Turismo, 335 Gran Turismo, 435, 535d, 328d, i3, i8, ActiveHybrid 7, M235, M4, X4, 435 Gran Coupe, 428 Coupe, 325 , 325i , 330 , 330i , 328 , 328i , 335 , 335i, 525 , 745i , 745li , 530i , 545 , 550 , 645 , 650, X5 , 750li , 750 , 750i , X3, X1, X6, 128i, 135i 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 BMW, 0 Down Payment, Suv, 4x4, Buy Here Pay Here, On Lot Financing, Owner Finance, 500 down Bad Credit, Bluetooth, Cheap for cheap, Cars owner Financing, Cheap down Payment, no money down, cars low down payment, car lots No Money Down Bad Credit, used cars for sale, Used SUV, bad credit, $1000 or less used cars, For Sale By Owner, Will Trade for Motorcycles, For Sale Near Me, for sale craigslist, low mileage, low miles, very low miles, 500 down no credit check, $500, Low Down Payment, No CreditA27FBAFAEA464DBBB650D168074EE06C 28003645 8284589BMW 335 335i",,nc,,
7088744126,https://greensboro.craigslist.org/cto/d/greensboro-2011-jaguar-xf-premier/7088744126.html,greensboro,https://greensboro.craigslist.org,9500,2011,jaguar,xf,excellent,,gas,85000,clean,automatic,,,,,blue,https://images.craigslist.org/00505_f22HGItCRpc_600x450.jpg,"2011 jaguar XF premium - estate sale. Retired lady executive. Like new, garaged and maintained. Very nice leather, heated seats, electric sunroof, metallic blue paint. 85K miles bumper-to-bumper warranty. Premium radio sound system. Built-in phone connection. Please call  show contact info  cell or  show contact info .  Asking Price $9500",,nc,36.1032,-79.8794
7088743681,https://greensboro.craigslist.org/ctd/d/cary-2004-honda-element-lx-4dr-suv/7088743681.html,greensboro,https://greensboro.craigslist.org,3995,2004,honda,element,,,gas,212526,clean,automatic,5J6YH18314L006498,fwd,,SUV,orange,https://images.craigslist.org/00E0E_eAUnhFF86M4_600x450.jpg,"2004 Honda Element LX 4dr SUV     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $3,995     EXCELLENT SHAPE INSIDE AND OUT FULLY SERVICED AND READY TO GO ,RUNS AND DRIVES PERFECT ,PLEASE CALL OR TEXT 919 454 4848 OR CALL 919 380 0380 IF INTERESTED.   Best Import Auto Sales Inc    Year: 2004 Make: Honda Model: Element Series: LX 4dr SUV VIN: 5J6YH18314L006498 Stock #: 4L006498 Condition: Used Mileage: 212,526  Exterior: Orange Interior: Black Body: SUV Transmission: Automatic 4-Speed Engine: 2.4L I4      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/3kE08kSD     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this Honda Element Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2004 Honda Element LX 4dr SUV   6fbc204ebd7e4a32a30dcf2c8c3bcdea",,nc,35.7636,-78.7443
7074612539,https://lincoln.craigslist.org/ctd/d/gretna-2016-chevrolet-silverado-2500hd/7074612539.html,lincoln,https://lincoln.craigslist.org,41988,2016,chevrolet,silverado k2500hd,,,gas,,clean,automatic,1GC1KWE85GF266427,,,,,https://images.craigslist.org/00S0S_8msT7RQquO0_600x450.jpg,"Shop Indoors, Heated Showroom!!!www.gretnaauto.com1-800-BUY-ACARGood Credit Bad Credit Our Goal is 100 Percent ApprovalWe offer WarrantiesFinancingHeated Indoor ShowroomComfortable Waiting AreaCoffee BarArcade for the KidsOpen 7 Days a WeekStaff with Decades of ExpierenceHundreds of Vehicles to Choose FromDelivery Available* 8 Cylinder engine * * GREAT DEAL AT $41,988 * * 2016 ** Chevrolet * * Silverado 2500HD * * LTZ * Make sure to get your hands on this 2016 Chevrolet Silverado 2500HD LTZ with a remote starter, backup camera, braking assist, dual climate control, a power outlet, hill start assist, stability control, traction control, anti-lock brakes, and dual airbags before its too late! It comes with a 8 Cylinder engine. Enjoy superior fuel economy with a diesel engine. Flaunting a gorgeous white exterior and a jet black interior, this car is a sight to see from the inside out. This crew cab 4x4 scored a crash test safety rating of 4 out of 5 stars. Dont sit on this decision for long...schedule your test drive today! Give us a call today at 1-800-BUYACAR or 402-332-5868 to set up your test drive. Feel free to TEXT us at 402-669-5961 24 hours a day 7 days a week! We are also available to chat 24/7 on our website, www.gretnaauto.com. Thank you for looking and good luck in your search!",,ne,41.1345,-96.2458
7088741557,https://greensboro.craigslist.org/ctd/d/cary-2015-kia-sportage-ex-awd-4dr-suv/7088741557.html,greensboro,https://greensboro.craigslist.org,12995,2015,kia,sportage,,,gas,85127,clean,automatic,KNDPCCAC2F7761967,4wd,,wagon,,https://images.craigslist.org/00000_2qdQpZA2hKz_600x450.jpg,"2015 Kia Sportage EX AWD 4dr SUV     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $12,995     THIS SPORTAGE HAS EVERY OPTION THERE IS, YOU NAME IT, IT HAS IT. PERFECT CONDITION INSIDE AND OUT. HEATED AND COOLED LEATHER SEATS, BLUE TOOTH, CAMERA, NAV, PANORAMIC ROOF, AND MUCH MORE.   Best Import Auto Sales Inc    Year: 2015 Make: Kia Model: Sportage Series: EX AWD 4dr SUV VIN: KNDPCCAC2F7761967  Condition: Used Mileage: 85,127  Exterior: Gray Interior: Black Body: SUV Transmission: Automatic 6-Speed Engine: 2.4L I4      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/Qz_E23S3     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this Kia Sportage Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2015 Kia Sportage EX AWD 4dr SUV   c8b0fbd17fa1442398eaadc0bf3a0cec",,nc,35.7636,-78.7443
7088741418,https://greensboro.craigslist.org/ctd/d/cary-2014-chevrolet-chevy-traverse-lt/7088741418.html,greensboro,https://greensboro.craigslist.org,10995,2014,chevrolet,traverse,,,gas,112383,clean,automatic,1GNKRGKD2EJ157108,fwd,,SUV,black,https://images.craigslist.org/00G0G_1DqITOauzgO_600x450.jpg,"2014 Chevrolet Chevy Traverse LT 4dr SUV w/1LT     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $10,995     Camera, DVD player, Sunroof, Heated Seats and much more, ONE OWNER, like new.   Best Import Auto Sales Inc    Year: 2014 Make: Chevrolet Model: Traverse Series: LT 4dr SUV w/1LT VIN: 1GNKRGKD2EJ157108  Condition: Used Mileage: 112,383  Exterior: Black Interior: Gray Body: SUV Transmission: Automatic 6-Speed Engine: 3.6L V6      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/9tk9iezM     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this Chevrolet Traverse Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2014 Chevrolet Traverse LT 4dr SUV w/1LT   7b88f35d1df242ce9cf3e7abbb6774a9",,nc,35.7636,-78.7443
7088739008,https://greensboro.craigslist.org/ctd/d/cary-2011-bmw-5-series-528i-4dr-sedan/7088739008.html,greensboro,https://greensboro.craigslist.org,8995,2011,bmw,528i,,,gas,124446,clean,automatic,WBAFR1C52BC745716,,,sedan,silver,https://images.craigslist.org/00d0d_8SUGFLmz5K1_600x450.jpg,"2011 BMW 5 Series 528i 4dr Sedan     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $8,995     HAS EVERY OPTION UNDER THE SUN, LIKE NEW INSIDE AND OUT, FULLY SERVICED.   Best Import Auto Sales Inc    Year: 2011 Make: BMW Model: 5 Series Series: 528i 4dr Sedan VIN: WBAFR1C52BC745716  Condition: Used Mileage: 124,446  Exterior: Silver Interior: Gray Body: Sedan Transmission: Automatic 8-Speed Engine: 3.0L I6      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/IAlFpCg9     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this BMW 5 Series Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2011 BMW 5 Series 528i 4dr Sedan   dd255ce86d80410a94a81cd826747e02",,nc,35.7636,-78.7443
7088737004,https://greensboro.craigslist.org/ctd/d/cary-2007-toyota-camry-solara-sle-v6/7088737004.html,greensboro,https://greensboro.craigslist.org,3995,2007,toyota,solara,,,gas,185123,clean,automatic,4T1FA38P57U118005,fwd,compact,convertible,black,https://images.craigslist.org/00G0G_5tpX7fRY8sB_600x450.jpg,"2007 Toyota Camry Solara SLE V6 2dr Convertible     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $3,995     Perfect running condition, meticulously maintained, do not let the miles scare you, it is a TOYOTA.   Best Import Auto Sales Inc    Year: 2007 Make: Toyota Model: Camry Solara Series: SLE V6 2dr Convertible VIN: 4T1FA38P57U118005  Condition: Used Mileage: 185,123  Exterior: Black Interior: Gray Body: Convertible Transmission: Automatic 5-Speed Engine: 3.3L V6      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/bZXqMGYq     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this Toyota Camry Solara Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2007 Toyota Camry Solara SLE V6 2dr Convertible   d7fe3be8e8b745e994e9ab7438b3e5d4",,nc,35.7636,-78.7443
7088734576,https://greensboro.craigslist.org/ctd/d/cary-2005-toyota-tacoma-prerunner-v6/7088734576.html,greensboro,https://greensboro.craigslist.org,8995,2005,toyota,tacoma,,,gas,181020,clean,automatic,5TETU62N65Z006686,,,other,black,https://images.craigslist.org/00j0j_5BokdmC5j4o_600x450.jpg,"2005 Toyota Tacoma PreRunner V6 4dr Access Cab Rwd SB     Offered by: Best Import Auto Sales Inc — (919) 800-0650 — $8,995     SUPPER CLEAN INSIDE AND OUT SOUTHERN TRUCK WITH CLEAN CARFAX NEW TIRES, RUNS AND DRIVES PERFECT , PLEASE CALL OR TEXT 919 454 4848 OR CALL 919 380 0380 IF INTERESTED   Best Import Auto Sales Inc    Year: 2005 Make: Toyota Model: Tacoma Series: PreRunner V6 4dr Access Cab Rwd SB VIN: 5TETU62N65Z006686 Stock #: 5Z006686 Condition: Used Mileage: 181,020  Exterior: Black Interior: Tan Body: Pickup Truck Transmission: Automatic 5-Speed Engine: 4.0L V6      **** Best Import Auto Sales Inc. 🚘 Raleigh Auto Dealer *****  ⚡️⚡️⚡️ Call Or Text (919) 800-0650 ⚡️⚡️⚡️  ✅ - We can arrange Financing Options with most banks and credit unions!!!!     ✅ Extended Warranties Available on most vehicles!! ""Call To Inquire""  ✅ Full Service ASE-Certified Shop Onsite!       More vehicle details: best-import-auto-sales-inc.hammerwebsites.net/v/u-NNy8Ss     Address: 1501 Buck Jones Rd Raleigh, NC 27606   Phone: (919) 800-0650     Website: www.bestimportsonline.com      📲 ☎️ Call or text (919) 800-0650 for quick answers to your questions about this Toyota Tacoma Your message will always be answered by a real human — never an automated system.     Disclaimer: Best Import Auto Sales Inc will never sell, share, or spam your mobile number. Standard text messaging rates may apply.       2005 Toyota Tacoma PreRunner V6 4dr Access Cab Rwd SB   2e9199a11a9a401d8f8340cd3b76544e",,nc,35.7636,-78.7443
